Ride,Date/Time,Wait Time
Astro Orbitor,02/01/2024 07:00,23.0
Astro Orbitor,02/01/2024 07:05,23.0
Astro Orbitor,02/01/2024 07:10,23.0
Astro Orbitor,02/01/2024 07:15,23.0
Astro Orbitor,02/01/2024 07:20,23.0
Astro Orbitor,02/01/2024 07:25,23.0
Astro Orbitor,02/01/2024 07:30,23.0
Astro Orbitor,02/01/2024 07:35,23.0
Astro Orbitor,02/01/2024 07:40,23.0
Astro Orbitor,02/01/2024 07:45,23.0
Astro Orbitor,02/01/2024 07:50,23.0
Astro Orbitor,02/01/2024 07:55,23.0
Astro Orbitor,02/01/2024 08:00,23.0
Astro Orbitor,02/01/2024 08:05,23.0
Astro Orbitor,02/01/2024 08:10,23.0
Astro Orbitor,02/01/2024 08:15,23.0
Astro Orbitor,02/01/2024 08:20,23.0
Astro Orbitor,02/01/2024 08:25,23.0
Astro Orbitor,02/01/2024 08:30,23.0
Astro Orbitor,02/01/2024 08:35,23.0
Astro Orbitor,02/01/2024 08:40,23.0
Astro Orbitor,02/01/2024 08:45,23.0
Astro Orbitor,02/01/2024 08:50,23.0
Astro Orbitor,02/01/2024 08:55,23.0
Astro Orbitor,02/01/2024 09:00,23.0
Astro Orbitor,02/01/2024 09:05,23.0
Astro Orbitor,02/01/2024 09:10,23.0
Astro Orbitor,02/01/2024 09:15,23.0
Astro Orbitor,02/01/2024 09:20,23.0
Astro Orbitor,02/01/2024 09:25,23.0
Astro Orbitor,02/01/2024 09:30,23.0
Astro Orbitor,02/01/2024 09:35,23.0
Astro Orbitor,02/01/2024 09:40,23.0
Astro Orbitor,02/01/2024 09:45,23.0
Astro Orbitor,02/01/2024 09:50,23.0
Astro Orbitor,02/01/2024 09:55,23.0
Astro Orbitor,02/01/2024 10:00,23.0
Astro Orbitor,02/01/2024 10:05,23.0
Astro Orbitor,02/01/2024 10:10,23.0
Astro Orbitor,02/01/2024 10:15,23.0
Astro Orbitor,02/01/2024 10:20,23.0
Astro Orbitor,02/01/2024 10:25,23.0
Astro Orbitor,02/01/2024 10:30,23.0
Astro Orbitor,02/01/2024 10:35,23.0
Astro Orbitor,02/01/2024 10:40,23.0
Astro Orbitor,02/01/2024 10:45,23.0
Astro Orbitor,02/01/2024 10:50,23.0
Astro Orbitor,02/01/2024 10:55,23.0
Astro Orbitor,02/01/2024 11:00,23.0
Astro Orbitor,02/01/2024 11:05,23.0
Astro Orbitor,02/01/2024 11:10,23.0
Astro Orbitor,02/01/2024 11:15,23.0
Astro Orbitor,02/01/2024 11:20,23.0
Astro Orbitor,02/01/2024 11:25,23.0
Astro Orbitor,02/01/2024 11:30,23.0
Astro Orbitor,02/01/2024 11:35,23.0
Astro Orbitor,02/01/2024 11:40,23.0
Astro Orbitor,02/01/2024 11:45,23.0
Astro Orbitor,02/01/2024 11:50,23.0
Astro Orbitor,02/01/2024 11:55,23.0
Astro Orbitor,02/01/2024 12:00,23.0
Astro Orbitor,02/01/2024 12:05,23.0
Astro Orbitor,02/01/2024 12:10,23.0
Astro Orbitor,02/01/2024 12:15,23.0
Astro Orbitor,02/01/2024 12:20,23.0
Astro Orbitor,02/01/2024 12:25,23.0
Astro Orbitor,02/01/2024 12:30,23.0
Astro Orbitor,02/01/2024 12:35,23.0
Astro Orbitor,02/01/2024 12:40,23.0
Astro Orbitor,02/01/2024 12:45,23.0
Astro Orbitor,02/01/2024 12:50,23.0
Astro Orbitor,02/01/2024 12:55,23.0
Astro Orbitor,02/02/2024 07:00,23.0
Astro Orbitor,02/02/2024 07:05,23.0
Astro Orbitor,02/02/2024 07:10,23.0
Astro Orbitor,02/02/2024 07:15,23.0
Astro Orbitor,02/02/2024 07:20,23.0
Astro Orbitor,02/02/2024 07:25,23.0
Astro Orbitor,02/02/2024 07:30,23.0
Astro Orbitor,02/02/2024 07:35,23.0
Astro Orbitor,02/02/2024 07:40,23.0
Astro Orbitor,02/02/2024 07:45,23.0
Astro Orbitor,02/02/2024 07:50,23.0
Astro Orbitor,02/02/2024 07:55,23.0
Astro Orbitor,02/02/2024 08:00,23.0
Astro Orbitor,02/02/2024 08:05,23.0
Astro Orbitor,02/02/2024 08:10,23.0
Astro Orbitor,02/02/2024 08:15,23.0
Astro Orbitor,02/02/2024 08:20,23.0
Astro Orbitor,02/02/2024 08:25,23.0
Astro Orbitor,02/02/2024 08:30,23.0
Astro Orbitor,02/02/2024 08:35,23.0
Astro Orbitor,02/02/2024 08:40,23.0
Astro Orbitor,02/02/2024 08:45,23.0
Astro Orbitor,02/02/2024 08:50,23.0
Astro Orbitor,02/02/2024 08:55,23.0
Astro Orbitor,02/02/2024 09:00,23.0
Astro Orbitor,02/02/2024 09:05,23.0
Astro Orbitor,02/02/2024 09:10,23.0
Astro Orbitor,02/02/2024 09:15,23.0
Astro Orbitor,02/02/2024 09:20,23.0
Astro Orbitor,02/02/2024 09:25,23.0
Astro Orbitor,02/02/2024 09:30,23.0
Astro Orbitor,02/02/2024 09:35,23.0
Astro Orbitor,02/02/2024 09:40,23.0
Astro Orbitor,02/02/2024 09:45,23.0
Astro Orbitor,02/02/2024 09:50,23.0
Astro Orbitor,02/02/2024 09:55,23.0
Astro Orbitor,02/02/2024 10:00,23.0
Astro Orbitor,02/02/2024 10:05,23.0
Astro Orbitor,02/02/2024 10:10,23.0
Astro Orbitor,02/02/2024 10:15,23.0
Astro Orbitor,02/02/2024 10:20,23.0
Astro Orbitor,02/02/2024 10:25,23.0
Astro Orbitor,02/02/2024 10:30,23.0
Astro Orbitor,02/02/2024 10:35,23.0
Astro Orbitor,02/02/2024 10:40,23.0
Astro Orbitor,02/02/2024 10:45,23.0
Astro Orbitor,02/02/2024 10:50,23.0
Astro Orbitor,02/02/2024 10:55,23.0
Astro Orbitor,02/02/2024 11:00,23.0
Astro Orbitor,02/02/2024 11:05,23.0
Astro Orbitor,02/02/2024 11:10,23.0
Astro Orbitor,02/02/2024 11:15,23.0
Astro Orbitor,02/02/2024 11:20,23.0
Astro Orbitor,02/02/2024 11:25,23.0
Astro Orbitor,02/02/2024 11:30,23.0
Astro Orbitor,02/02/2024 11:35,23.0
Astro Orbitor,02/02/2024 11:40,23.0
Astro Orbitor,02/02/2024 11:45,23.0
Astro Orbitor,02/02/2024 11:50,23.0
Astro Orbitor,02/02/2024 11:55,23.0
Astro Orbitor,02/02/2024 12:00,23.0
Astro Orbitor,02/02/2024 12:05,23.0
Astro Orbitor,02/02/2024 12:10,23.0
Astro Orbitor,02/02/2024 12:15,23.0
Astro Orbitor,02/02/2024 12:20,23.0
Astro Orbitor,02/02/2024 12:25,23.0
Astro Orbitor,02/02/2024 12:30,23.0
Astro Orbitor,02/02/2024 12:35,23.0
Astro Orbitor,02/02/2024 12:40,23.0
Astro Orbitor,02/02/2024 12:45,23.0
Astro Orbitor,02/02/2024 12:50,23.0
Astro Orbitor,02/02/2024 12:55,23.0
Astro Orbitor,02/03/2024 07:00,23.0
Astro Orbitor,02/03/2024 07:05,23.0
Astro Orbitor,02/03/2024 07:10,23.0
Astro Orbitor,02/03/2024 07:15,23.0
Astro Orbitor,02/03/2024 07:20,23.0
Astro Orbitor,02/03/2024 07:25,23.0
Astro Orbitor,02/03/2024 07:30,23.0
Astro Orbitor,02/03/2024 07:35,23.0
Astro Orbitor,02/03/2024 07:40,23.0
Astro Orbitor,02/03/2024 07:45,23.0
Astro Orbitor,02/03/2024 07:50,23.0
Astro Orbitor,02/03/2024 07:55,23.0
Astro Orbitor,02/03/2024 08:00,23.0
Astro Orbitor,02/03/2024 08:05,23.0
