Ride,Date/Time,Wait Time
Astro Orbitor,01/01/2024 07:00,23.0
Astro Orbitor,01/01/2024 07:05,23.0
Astro Orbitor,01/01/2024 07:10,23.0
Astro Orbitor,01/01/2024 07:15,23.0
Astro Orbitor,01/01/2024 07:20,23.0
Astro Orbitor,01/01/2024 07:25,23.0
Astro Orbitor,01/01/2024 07:30,23.0
Astro Orbitor,01/01/2024 07:35,23.0
Astro Orbitor,01/01/2024 07:40,23.0
Astro Orbitor,01/01/2024 07:45,23.0
Astro Orbitor,01/01/2024 07:50,23.0
Astro Orbitor,01/01/2024 07:55,23.0
Astro Orbitor,01/01/2024 08:00,23.0
Astro Orbitor,01/01/2024 08:05,23.0
Astro Orbitor,01/01/2024 08:10,23.0
Astro Orbitor,01/01/2024 08:15,23.0
Astro Orbitor,01/01/2024 08:20,23.0
Astro Orbitor,01/01/2024 08:25,23.0
Astro Orbitor,01/01/2024 08:30,23.0
Astro Orbitor,01/01/2024 08:35,23.0
Astro Orbitor,01/01/2024 08:40,23.0
Astro Orbitor,01/01/2024 08:45,23.0
Astro Orbitor,01/01/2024 08:50,23.0
Astro Orbitor,01/01/2024 08:55,23.0
Astro Orbitor,01/01/2024 09:00,23.0
Astro Orbitor,01/01/2024 09:05,23.0
Astro Orbitor,01/01/2024 09:10,23.0
Astro Orbitor,01/01/2024 09:15,23.0
Astro Orbitor,01/01/2024 09:20,23.0
Astro Orbitor,01/01/2024 09:25,23.0
Astro Orbitor,01/01/2024 09:30,23.0
Astro Orbitor,01/01/2024 09:35,23.0
Astro Orbitor,01/01/2024 09:40,23.0
Astro Orbitor,01/01/2024 09:45,23.0
Astro Orbitor,01/01/2024 09:50,23.0
Astro Orbitor,01/01/2024 09:55,23.0
Astro Orbitor,01/01/2024 10:00,23.0
Astro Orbitor,01/01/2024 10:05,23.0
Astro Orbitor,01/01/2024 10:10,23.0
Astro Orbitor,01/01/2024 10:15,23.0
Astro Orbitor,01/01/2024 10:20,23.0
Astro Orbitor,01/01/2024 10:25,23.0
Astro Orbitor,01/01/2024 10:30,23.0
Astro Orbitor,01/01/2024 10:35,23.0
Astro Orbitor,01/01/2024 10:40,23.0
Astro Orbitor,01/01/2024 10:45,23.0
Astro Orbitor,01/01/2024 10:50,23.0
Astro Orbitor,01/01/2024 10:55,23.0
