Ride,Date/Time,Wait Time
The Many Adventures of Winnie the Pooh,2024-08-29 08:01:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:02:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:03:01,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:04:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:05:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:06:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:07:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:08:01,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:09:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:10:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:11:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:12:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:13:01,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:14:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:15:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:16:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:17:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:18:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:19:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:20:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:21:03,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:22:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:23:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:24:03,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:25:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:26:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:27:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:28:02,1
The Many Adventures of Winnie the Pooh,2024-08-29 08:29:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:30:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:31:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:32:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:33:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:34:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:35:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:36:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:37:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:38:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:39:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:40:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:41:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:42:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:43:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:44:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:45:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:46:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:47:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:48:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:49:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:50:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:51:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:52:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:53:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:54:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:55:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:56:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:57:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:58:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 08:59:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:00:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:01:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:02:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:03:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:04:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:05:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:06:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:07:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:08:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:09:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:10:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:11:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:12:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:13:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:14:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:15:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:16:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:17:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:18:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:19:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:20:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:21:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:22:01,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:23:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:24:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:25:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:26:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:27:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:28:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:29:01,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:30:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:31:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:32:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:33:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:34:03,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:35:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:36:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:37:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:38:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:39:01,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:40:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:41:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:42:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:43:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:44:01,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:45:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:46:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:47:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:48:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:49:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:50:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:51:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:52:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:53:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:54:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:55:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:56:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:57:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:58:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 09:59:02,5
The Many Adventures of Winnie the Pooh,2024-08-29 10:00:02,10
The Many Adventures of Winnie the Pooh,2024-08-29 10:01:02,10
The Many Adventures of Winnie the Pooh,2024-08-29 10:02:02,10
The Many Adventures of Winnie the Pooh,2024-08-29 10:03:02,10
The Many Adventures of Winnie the Pooh,2024-08-29 10:04:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:05:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:06:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:07:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:08:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:09:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:10:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:11:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:12:03,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:13:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:14:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:15:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:16:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:17:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:18:03,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:19:02,15
The Many Adventures of Winnie the Pooh,2024-08-29 10:20:02,15
